Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-D-N-15,All India Institute of Medical Sciences,New Delhi,Delhi,87.52,1,91.81,96.18,66.91,77.43,100.00
IR-D-U-0079,Post Graduate Institute of Medical Education and Research,Chandigarh,Chandigarh,77.88,2,78.60,84.47,76.99,70.74,64.87
IR-D-C-45654,Christian Medical College,Vellore,Tamil Nadu,70.32,3,81.92,49.27,75.52,65.89,92.74
IR-D-N-33,Sanjay Gandhi Postgraduate Institute of Medical Sciences,Lucknow,Uttar Pradesh,64.16,4,74.88,57.16,79.65,46.08,40.11
IR-D-U-0436,Amrita Institute of Medical Sciences & Research,Kochi,Kerala,62.84,5,75.62,43.15,73.16,74.49,51.33
IR-D-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,61.66,6,70.57,50.95,76.45,55.29,43.80
IR-D-C-7242,Kasturba Medical College,Manipal,Karnataka,61.40,7,67.41,41.11,73.69,73.81,67.29
IR-D-U-0368,Jawaharlal Institute of Post Graduate Medical Education & Research,Puducherry,Pondicherry,61.38,8,73.83,38.52,64.88,65.74,81.15
IR-D-U-0106,Institute of Liver and Biliary Sciences,New Delhi,Delhi,59.80,9,89.46,36.88,69.96,57.15,21.81
IR-D-U-0523,King George`s Medical University,Lucknow,Uttar Pradesh,58.53,10,71.17,42.55,73.14,53.54,44.39
IR-D-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,58.45,11,71.36,31.45,81.19,62.29,51.33
IR-D-C-40453,St. John's Medical College,Bangalore,Karnataka,56.68,12,73.09,27.53,74.14,67.29,49.32
IR-D-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,55.79,13,67.26,38.10,84.24,59.80,13.55
IR-D-C-6414,Maulana Azad Medical College,Delhi,Delhi,54.01,14,69.71,28.99,72.86,53.87,44.39
IR-D-U-0107,Jamia Hamdard,New Delhi,Delhi,51.70,15,66.40,42.67,48.86,72.30,19.76
IR-D-C-7251,Kasturba Medical College,Mengaluru,Karnataka,51.23,16,65.74,22.21,70.05,70.65,37.79
IR-D-C-35009,JSS Medical College,Mysore,Karnataka,50.58,17,68.72,19.01,68.14,71.30,34.97
IR-D-C-29209,Christian Medical College,Ludhiana,Punjab,50.43,18,68.43,28.80,60.67,64.78,26.52
IR-D-C-32922,Vardhman Mahavir Medical College & Safdarjung Hospital,New Delhi,Delhi,50.19,19,71.64,27.66,64.68,57.50,17.05
IR-D-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,49.81,20,71.50,17.10,70.90,71.31,19.23
IR-D-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,49.57,21,69.71,16.55,70.50,64.65,31.16
IR-D-U-0473,SRM Institute of Science and Technology,Chennai,Tamil Nadu,49.14,22,65.24,27.59,66.91,56.81,22.30
IR-D-I-1409,University College of Medical Sciences,Delhi,Delhi,48.69,23,65.24,39.99,44.43,55.84,26.52
IR-D-C-29255,Dayanand Medical College,Ludhiana,Punjab,48.00,24,76.81,16.78,67.61,55.02,9.05
IR-D-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,47.41,25,69.01,16.02,69.72,66.09,13.55
IR-D-U-0443,Annamalai University,Annamalainagar,Tamil Nadu,46.63,26,60.87,23.42,61.58,51.06,39.13
IR-D-C-40345,M. S. Ramaiah Medical College,Bengaluru,Karnataka,46.61,27,71.03,13.08,57.17,63.13,36.40
IR-D-C-9435,Regional Institute of Medical Sciences,Imphal West,Manipur,46.60,28,68.63,11.24,67.21,62.47,29.53
IR-D-U-0036,Sri Venkateswara Institute of Medical Sciences,Tirupati,Andhra Pradesh,46.38,29,70.49,9.44,72.42,51.43,27.84
IR-D-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,46.30,30,68.18,15.43,57.72,67.65,29.12
