Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
IR-L-U-0238,National Law School of India University,Bengaluru,Karnataka,78.06,1,78.19,55.62,83.92,74.74,100.00
IR-L-U-0111,National Law University,New Delhi,Delhi,74.55,2,87.68,42.81,73.02,74.16,73.82
IR-L-N-18,NALSAR University of Law,Hyderabad,Telangana,72.39,3,82.73,47.60,71.60,72.60,70.01
IR-L-U-0585,The West Bengal National University of Juridicial Sciences,Kolkata,West Bengal,71.24,4,75.74,31.89,86.36,71.94,73.82
IR-L-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,71.09,5,77.70,77.46,70.12,69.73,38.85
IR-L-U-0134,Gujarat National Law University,Gandhinagar,Gujarat,65.18,6,73.56,42.27,69.07,68.40,53.00
IR-L-U-0108,Jamia Millia Islamia,New Delhi,Delhi,64.67,7,70.55,34.99,73.52,72.29,55.90
IR-L-U-0414,"National Law University, Jodhpur",Jodhpur,Rajasthan,63.41,8,75.28,29.82,74.02,64.42,38.85
IR-L-C-19328,Symbiosis Law School,Pune,Maharashtra,61.49,9,73.61,18.82,63.89,76.74,55.90
IR-L-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,57.28,10,78.40,26.53,54.30,74.08,9.52
IR-L-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,55.96,11,55.23,23.67,90.06,48.72,29.44
IR-L-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,55.92,12,59.68,32.56,72.96,50.39,38.85
IR-L-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,55.19,13,70.38,45.02,51.48,56.89,17.26
IR-L-U-0285,"National Law Institute University, Bhopal",Bhopal,Madhya Pradesh,52.89,14,59.21,25.95,62.01,59.28,38.85
IR-L-U-0511,Dr. Ram Manohar Lohiya National Law University,Lucknow,Uttar Pradesh,51.44,15,59.53,2.60,74.08,48.34,38.85
IR-L-U-0386,"The Rajiv Gandhi National University of Law, Patiala",Patiala,Punjab,50.98,16,56.13,27.41,50.38,71.78,46.52
IR-L-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,50.40,17,56.44,34.37,59.69,53.58,23.79
IR-L-U-0358,National Law University,Cuttack,Odisha,50.31,18,60.72,13.12,49.79,60.05,55.90
IR-L-U-0217,Christ University,Bengaluru,Karnataka,49.78,19,50.33,29.62,52.91,63.90,55.90
IR-L-U-0677,National Law University and Judicial Academy,Kamrup,Assam,49.26,20,72.94,3.24,40.66,64.80,29.44
IR-L-C-22215,Army Institute of  Law,Mohali,Punjab,47.63,21,57.00,0.49,51.51,68.91,49.89
IR-L-U-0103,Indian Law Institute,New Delhi,Delhi,47.38,22,47.29,15.96,52.37,56.03,73.82
IR-L-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,46.72,23,49.18,26.55,57.26,34.65,53.00
IR-L-U-0379,Lovely Professional University,Phagwara,Punjab,46.18,24,55.84,9.73,44.40,69.89,42.86
IR-L-U-0564,University of Petroleum and Energy Studies,Dehradun,Uttarakhand,46.03,25,52.44,28.28,48.91,68.48,17.26
IR-L-U-0264,National University of Advanced Legal Studies (NUALS),Kochi,Kerala,45.66,26,45.93,20.63,54.43,52.90,53.00
IR-L-U-0078,Panjab University,Chandigarh,Chandigarh,45.62,27,45.48,35.87,44.93,61.71,46.52
IR-L-I-1291,Damodaram Sanjivayya National Law University,Visakhapatnam,Andhra Pradesh,45.31,28,60.80,2.57,48.45,61.09,23.79
IR-L-U-0012,ICFAI Foundation for Higher Education,Hyderabad,Telangana,45.16,29,59.31,38.60,33.80,54.65,17.26
IR-L-C-6601,"Sikkim Government Law College,Burtuk",Gangtok,Sikkim,44.24,30,55.32,0.00,64.58,50.17,9.52
